layer,head_left,head_right,linear_cka,rsa_cosine_distance_corr
20,15,20,0.6305053234100342,0.7595611214637756
20,1,28,0.6303001046180725,0.7441117763519287
20,27,30,0.6300230622291565,0.7190777659416199
20,6,13,0.6296769976615906,0.7246229648590088
20,13,31,0.6294696927070618,0.7296755909919739
20,8,30,0.6294181942939758,0.7239862680435181
20,14,15,0.6293120384216309,0.783781886100769
20,16,24,0.6288424730300903,0.7728676795959473
20,7,23,0.6286501884460449,0.8000386953353882
20,2,28,0.6285917162895203,0.7256456613540649
20,4,26,0.6283448338508606,0.7328094840049744
20,8,20,0.6271715760231018,0.7732067108154297
20,16,20,0.6260905861854553,0.7663328051567078
20,18,20,0.6255307197570801,0.7482024431228638
20,20,27,0.625198245048523,0.7566365003585815
20,9,22,0.625099241733551,0.7332792282104492
20,22,24,0.625070333480835,0.7834210395812988
20,22,25,0.6246663928031921,0.8157631754875183
20,3,9,0.623965322971344,0.7512097358703613
20,6,7,0.6234101057052612,0.8255608677864075
20,19,20,0.6232173442840576,0.7266796231269836
20,7,31,0.6230738759040833,0.6817241907119751
20,8,25,0.622766375541687,0.8168264627456665
20,14,17,0.6226255893707275,0.678964376449585
20,14,16,0.6222466826438904,0.7080103158950806
20,7,20,0.6215353608131409,0.7507854700088501
20,4,24,0.6214598417282104,0.7488245964050293
20,4,14,0.6213677525520325,0.6885181069374084
20,15,17,0.6203656196594238,0.7490824460983276
20,14,20,0.6202918887138367,0.7601360082626343
20,5,25,0.6202735304832458,0.7766926288604736
20,2,29,0.6201496124267578,0.7233030200004578
20,7,30,0.6189207434654236,0.745923638343811
20,2,21,0.6188676357269287,0.744447648525238
20,23,29,0.6180692315101624,0.7782700061798096
20,22,26,0.6176906228065491,0.8095616102218628
20,17,21,0.6174874305725098,0.760686457157135
20,10,13,0.617358386516571,0.7156566977500916
20,3,25,0.617153525352478,0.782034158706665
20,7,26,0.6161873936653137,0.7826971411705017
20,16,26,0.6150530576705933,0.7872528433799744
20,29,30,0.6146891713142395,0.7420997023582458
20,4,15,0.6143308877944946,0.729184627532959
20,3,18,0.6140793561935425,0.7395153641700745
20,7,14,0.6139655709266663,0.7166205048561096
20,23,28,0.6137756705284119,0.7800090909004211
20,19,28,0.6133923530578613,0.7535562515258789
20,13,30,0.6130083203315735,0.7246689796447754
20,3,17,0.6111427545547485,0.7266290187835693
20,5,14,0.610787570476532,0.6834504008293152
20,3,10,0.6106773018836975,0.7227768301963806
20,7,9,0.610675036907196,0.7242945432662964
20,9,29,0.6105617880821228,0.7202715873718262
20,15,27,0.6102830171585083,0.7619879245758057
20,21,25,0.6101022362709045,0.7873070240020752
20,13,23,0.609337568283081,0.7732509970664978
20,10,31,0.609017014503479,0.6599037647247314
20,3,26,0.6089367866516113,0.7764202952384949
20,14,30,0.6089006662368774,0.7229884266853333
20,28,30,0.6077535152435303,0.7218337059020996
20,10,15,0.6075609922409058,0.7232334017753601
20,3,19,0.6070084571838379,0.6848965883255005
20,15,24,0.6068809628486633,0.7765498757362366
20,20,28,0.6064582467079163,0.7336930632591248
20,7,24,0.6050490140914917,0.7558140158653259
20,10,21,0.6042647361755371,0.6792946457862854
20,20,21,0.6032446026802063,0.7556747198104858
20,13,24,0.6032379865646362,0.7733396887779236
20,8,24,0.6030114889144897,0.7673904299736023
20,15,22,0.6006588339805603,0.7576988935470581
20,17,29,0.600172221660614,0.7411520481109619
20,8,31,0.6000175476074219,0.7089675664901733
20,27,31,0.5981171727180481,0.7077879905700684
20,13,20,0.5977492928504944,0.7254839539527893
20,25,28,0.5970396995544434,0.76329505443573
20,9,28,0.5968741774559021,0.6903085708618164
20,5,23,0.5957719087600708,0.7971923351287842
20,21,23,0.5939666032791138,0.7910556793212891
20,3,11,0.5937640070915222,0.7009602189064026
20,11,29,0.5925714373588562,0.6786333918571472
20,22,31,0.5924274921417236,0.7225441932678223
20,3,14,0.5916897058486938,0.7455890774726868
20,13,22,0.5915496349334717,0.7726636528968811
20,18,21,0.5913625359535217,0.7469046115875244
20,8,14,0.5913317203521729,0.7438685297966003
20,3,23,0.5908999443054199,0.8129700422286987
20,14,22,0.589748203754425,0.7438910603523254
20,18,29,0.5893427133560181,0.7318550944328308
20,25,29,0.5893176794052124,0.7737876176834106
20,10,29,0.5882092118263245,0.6292011141777039
20,5,15,0.5847770571708679,0.7131732106208801
20,14,31,0.584254801273346,0.6828462481498718
20,7,15,0.5834086537361145,0.7409757375717163
20,8,13,0.5827520489692688,0.7594990134239197
20,3,20,0.5827422738075256,0.7684608697891235
20,3,30,0.5819041132926941,0.7103083729743958
20,5,26,0.5816832780838013,0.7615482211112976
20,6,19,0.5816623568534851,0.7291361093521118
20,3,13,0.5815688967704773,0.7305007576942444
20,5,31,0.5815500020980835,0.6665668487548828
20,26,28,0.5803549289703369,0.7445985674858093
20,6,16,0.5799362659454346,0.7944594621658325
20,5,9,0.5797345042228699,0.7009453773498535
20,11,21,0.5795390605926514,0.7058985829353333
20,19,29,0.5789093375205994,0.7025730609893799
20,5,20,0.5773987770080566,0.7347297668457031
20,5,30,0.575537919998169,0.7093639373779297
20,9,21,0.5746610164642334,0.7207238674163818
20,26,29,0.5739080905914307,0.7366209626197815
20,5,24,0.5733547210693359,0.7386670112609863
20,19,21,0.5706766247749329,0.7160728573799133
20,29,31,0.5691691637039185,0.678596019744873
20,21,26,0.5678834915161133,0.7729879021644592
20,13,21,0.5676718354225159,0.7369652390480042
20,6,17,0.5675690174102783,0.7578719258308411
20,8,15,0.5650845766067505,0.735083818435669
20,14,21,0.5643814206123352,0.717816174030304
20,24,28,0.5605798363685608,0.7158355116844177
20,6,18,0.5600828528404236,0.7501990795135498
20,21,24,0.5580342411994934,0.7430177927017212
20,14,28,0.5580270290374756,0.6355178952217102
20,24,29,0.5572606921195984,0.7177820801734924
20,1,6,0.5538114905357361,0.7097521424293518
20,3,24,0.5522618889808655,0.7180265784263611
20,21,31,0.5508343577384949,0.6898452043533325
20,13,28,0.5459436774253845,0.7017410397529602
20,28,31,0.5458741188049316,0.6555674076080322
20,3,31,0.545588493347168,0.6629967093467712
20,3,15,0.5436000823974609,0.7210650444030762
20,13,29,0.5392826199531555,0.6945340037345886
20,6,12,0.5382314324378967,0.7114539742469788
20,14,29,0.5294346809387207,0.6615645289421082
20,2,6,0.5270600318908691,0.6797261834144592
20,0,6,0.5268120169639587,0.6996771693229675
20,15,29,0.5247136354446411,0.6600462794303894
20,15,28,0.5219248533248901,0.6641419529914856
20,3,6,0.5214369893074036,0.7195530533790588
20,6,15,0.5173919796943665,0.6508244276046753
20,6,22,0.5171014070510864,0.7344818115234375
20,15,21,0.5136848092079163,0.7141736745834351
20,6,21,0.5129868984222412,0.7620783448219299
20,6,8,0.5097793936729431,0.7432003617286682
20,6,27,0.5059058666229248,0.6694275736808777
20,6,14,0.5058128237724304,0.6174610257148743
20,6,29,0.5057503581047058,0.780377209186554
20,6,28,0.49244964122772217,0.7475541830062866
20,6,31,0.4579533338546753,0.6108872294425964
20,6,11,0.45682796835899353,0.642278254032135
20,6,25,0.455136775970459,0.6776784062385559
20,6,30,0.4504365026950836,0.6458233594894409
20,6,10,0.4491448998451233,0.605230450630188
20,6,9,0.4465211033821106,0.655457615852356
20,6,26,0.4323306083679199,0.6562590003013611
20,6,24,0.42478543519973755,0.6601158380508423
20,6,23,0.419358491897583,0.6542838215827942
20,6,20,0.4110512137413025,0.6485748291015625
